,Lemma,POS,meaning_en
105619,bezorgt,SPEC,
105650,bezuinigt,SPEC,
105684,bezwangerd,SPEC,
106203,bibliothecarissen,SPEC,
106371,bid,SPEC,
107909,bijeen,BW,
107911,bijeen,VZ,
108004,bijen,SPEC,
108144,bijgestaan,SPEC,
108154,bijgevolg,BW,
108226,bijkans,BW,
108312,bijlange,BW,
108836,bijtje,SPEC,
108955,bijvoorbeeld,BW,
109085,bijzondere,SPEC,
111058,binnen,BW,
111060,binnen,SPEC,
111063,binnen,VZ,
111306,binnenhuis,BW,
111320,binnenin,BW,
111391,binnenkort,BW,
111410,binnenlaat,SPEC,
111429,binnenlandse,SPEC,
111595,binnenshuis,BW,
111732,binnenuit,BW,
111734,binnenuit,VZ,
112253,biologielessen,SPEC,
112278,biologische,SPEC,
112840,biscuits,SPEC,
113205,bitterzoete,SPEC,
113293,bizarre,SPEC,
113573,blaat,SPEC,
114135,bladen,SPEC,
114274,blaft,SPEC,
114621,blanken,SPEC,
114874,blauwe,SPEC,
114945,blauwhelmen,SPEC,
115060,blazers,SPEC,
115244,bleke,SPEC,
115883,blinde,SPEC,
115955,blinder,SPEC,
116382,blockbusters,SPEC,
116621,bloedens,BW,
116727,bloedige,SPEC,
116915,bloedproeven,SPEC,
117018,bloedstelpend,ADJ,
117020,bloedstelpend,WW,
117244,bloedzuigers,SPEC,
117590,bloempje,SPEC,
117749,blokkeer,SPEC,
117963,bloody,SPEC,
118048,bloosde,SPEC,
118194,blote,SPEC,
118271,blowers,SPEC,
118940,blus,SPEC,
120416,bobs,SPEC,
121382,boeketje,SPEC,
122175,boetes,SPEC,
122774,boksers,SPEC,
122927,bokte,SPEC,
123134,bolle,SPEC,
123149,bolleke,SPEC,
123304,bolsjewieken,SPEC,
123327,bolt,SPEC,
123557,bombrieven,SPEC,
123580,bomen,SPEC,
124017,bondgenoten,SPEC,
124371,bonnetje,SPEC,
124567,bonte,SPEC,
124698,bonussen,SPEC,
124840,bood,SPEC,
125016,boogschutters,SPEC,
125834,bootje,SPEC,
125909,boots,SPEC,
126902,borsten,SPEC,
126952,borstimplantaten,SPEC,
127129,bosbessen,SPEC,
127510,bosten,SPEC,
127815,boterbloempje,SPEC,
128089,botte,SPEC,
128400,boulanger,SPEC,
128566,bourbons,SPEC,
128920,bouwprojecten,SPEC,
128953,bouwt,SPEC,
129026,bouwzaken,SPEC,
129082,bovenaan,BW,
129094,bovenaf,BW,
129096,bovenal,BW,
129098,bovenal,SPEC,
129154,bovendien,BW,
129305,bovenop,BW,
129307,bovenop,VZ,
129373,bovenuit,BW,
129679,boxers,SPEC,
129914,boze,SPEC,
130068,braakliggend,ADJ,
130071,braakliggend,WW,
130930,brandeis,SPEC,
131493,brandt,SPEC,
131632,brandweerlui,SPEC,
131699,brandwerend,ADJ,
131701,brandwerend,WW,
131716,brandwonden,SPEC,
132039,braver,SPEC,
132590,breekt,SPEC,
133255,bretellen,SPEC,
133949,bridgers,SPEC,
133959,bridget,SPEC,
134201,brigades,SPEC,
135176,brod,SPEC,
135184,broden,SPEC,
135356,broeders,SPEC,
135628,broers,SPEC,
135641,broertjes,SPEC,
135759,brom,SPEC,
135838,bromsnor,SPEC,
135914,bronnen,SPEC,
136971,bruggen,SPEC,
137015,brugman,SPEC,
137415,bruine,SPEC,
137938,brutale,SPEC,
138945,buddy,SPEC,
139850,building,SPEC,
139986,buitenaardse,SPEC,
139994,buitenaf,BW,
140031,buitenboordmotoren,SPEC,
140113,buitengewesten,SPEC,
140115,buitengewone,SPEC,
140249,buitenlandse,SPEC,
140327,buitenom,BW,
140340,buitenopnamen,SPEC,
140401,buitenshuis,BW,
140638,buizerds,SPEC,
140936,bullets,SPEC,
141453,bunkers,SPEC,
